CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-92933-1,pwpolicy_lower_case_character_enforce,Require Passwords Contain a Minimum of One Lowercase Character,"The macOS _MUST_ be configured to require at least one lower-case character be used when a password is created.

This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.

NOTE: macOS 14 supports password policy complexity with custom regex deployed with a mobileconfig file. To use a mobileconfig file use *pwpolicy_custom_regex_enforce*.
",Script,"/usr/bin/pwpolicy -getaccountpolicies 2> /dev/null | /usr/bin/tail +2 | /usr/bin/xmllint --xpath '//dict/key[text()=""minimumAlphaCharactersLowerCase""]/following-sibling::integer[1]/text()' - | /usr/bin/awk '{ if ($1 >= 1 ) {print ""yes""} else {print ""no""}}'
",{'string': 'yes'},"This setting may be enforced using local policy or by a directory service.

To set local policy to require at least 1 lowercase letter, edit the current password policy to contain the following <dict> within the ""policyCategoryPasswordContent"":

[source,xml]
----
<dict>
<key>policyContent</key>
<string>policyAttributePassword matches &apos;(.*[a-z].*){1,}+&apos;</string>
<key>policyIdentifier</key>
<string>Must have at least 1 lowercase letter</string>
<key>policyParameters</key>
<dict>
<key>minimumAlphaCharactersLowerCase</key>
<integer>1</integer>
</dict>
</dict>
----
After saving the file and exiting to the command prompt, run the following command to load the new policy file, substituting the path to the file in place of ""$pwpolicy_file"".

[source,bash]
----
/usr/bin/pwpolicy setaccountpolicies $pwpolicy_file
----
NOTE: See the password policy supplemental on more information on how to implement password policies on macOS.
",IA-5(1),03.05.07,,,,,5.2,"IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9",,,,
CCE-92935-6,pwpolicy_max_lifetime_enforce,Restrict Maximum Password Lifetime to 60 Days,"The macOS _MUST_ be configured to enforce a maximum password lifetime limit of at least 60 days.

This rule ensures that users are forced to change their passwords frequently enough to prevent malicious users from gaining and maintaining access to the system.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.

NOTE: To comply with Executive Order 14028, “Improving the Nation's Cybersecurity”, OMB M-22-09, “Moving the U.S. Government Toward Zero Trust Cybersecurity Principles”, and NIST SP-800-63b, “Digital Identity Guidelines: Authentication and Lifecycle Management” federal, military, and intelligence communities must adopt the following configuration settings. Password policies must not require use of special characters or regular rotation.
",Configuration Profile,"/usr/bin/pwpolicy -getaccountpolicies 2> /dev/null | /usr/bin/tail +2 | /usr/bin/xmllint --xpath '//dict/key[text()=""policyAttributeExpiresEveryNDays""]/following-sibling::*[1]/text()' -
",{'integer': 60},"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>maxPINAgeInDays</key>
<integer>60</integer>
----

",IA-5,03.05.12,SRG-OS-000076-GPOS-00044,,APPL-14-003008,5.2.7 (level 1),5.3,"IA.L2-3.5.8
IA.L2-3.5.9",,CCI-000199,medium,
CCE-92936-4,pwpolicy_minimum_length_enforce,Require a Minimum Password Length of 15 Characters,"The macOS _MUST_ be configured to require a minimum of 15 characters be used when a password is created.

This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.
",Configuration Profile,"/usr/bin/pwpolicy -getaccountpolicies 2> /dev/null | /usr/bin/tail +2 | /usr/bin/xmllint --xpath 'boolean(//*[contains(text(),""policyAttributePassword matches '\''.{15,}'\''"")])' -
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>minLength</key>
<integer>15</integer>
----

",IA-5(1),03.05.07,SRG-OS-000078-GPOS-00046,,APPL-14-003010,5.2.2 (level 1),5.2,"IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9",,CCI-000205,medium,
CCE-92937-2,pwpolicy_minimum_lifetime_enforce,Set Minimum Password Lifetime to 24 Hours,"The macOS _MUST_ be configured to enforce a minimum password lifetime limit of 24 hours.

This rule discourages users from cycling through their previous passwords to get back to a preferred one.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.
",Script,"/usr/bin/pwpolicy -getaccountpolicies 2> /dev/null | /usr/bin/tail +2 | /usr/bin/xmllint --xpath '//dict/key[text()=""policyAttributeMinimumLifetimeHours""]/following-sibling::integer[1]/text()' - | /usr/bin/awk '{ if ($1 >= 24 ) {print ""yes""} else {print ""no""}}'
",{'string': 'yes'},"This setting may be enforced using local policy or by a directory service.

To set local policy to require a minimum password lifetime, edit the current password policy to contain the following <dict> within the ""policyCategoryPasswordContent"":

[source,xml]
----
<dict>
<key>policyContent</key>
<string>policyAttributeLastPasswordChangeTime &lt; policyAttributeCurrentTime - (policyAttributeMinimumLifetimeHours * 60 * 60)</string>
<key>policyIdentifier</key>
<string>Minimum Password Lifetime</string>
<key>policyParameters</key>
<dict>
<key>policyAttributeMinimumLifetimeHours</key>
<integer>24</integer>
</dict>
</dict>
----
After saving the file and exiting to the command prompt, run the following command to load the new policy file, substituting the path to the file in place of ""$pwpolicy_file"".

[source,bash]
----
/usr/bin/pwpolicy setaccountpolicies $pwpolicy_file
----
NOTE: See the password policy supplemental on more information on how to implement password policies on macOS.
",IA-5,03.05.12,SRG-OS-000075-GPOS-00043,,APPL-14-003070,,4.7,"IA.L2-3.5.8
IA.L2-3.5.9",,CCI-000198,medium,
CCE-92939-8,pwpolicy_simple_sequence_disable,"Prohibit Repeating, Ascending, and Descending Character Sequences","The macOS _MUST_ be configured to prohibit the use of repeating, ascending, and descending character sequences when a password is created.

This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.
",Configuration Profile,"/usr/bin/pwpolicy -getaccountpolicies 2> /dev/null | /usr/bin/tail +2 | /usr/bin/xmllint --xpath '//dict/key[text()=""policyIdentifier""]/following-sibling::*[1]/text()' - | /usr/bin/grep ""allowSimple"" -c
",{'integer': 1},"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>allowSimple</key>
<false/>
----

",IA-5(1),03.05.07,,,,,5.2,"IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9",,,,
CCE-92940-6,pwpolicy_special_character_enforce,Require Passwords Contain a Minimum of One Special Character,"The macOS _MUST_ be configured to require at least one special character be used when a password is created.

Special characters are those characters that are not alphanumeric. Examples include: ~ ! @ # $ % ^ *.

This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.

NOTE: To comply with Executive Order 14028, “Improving the Nation's Cybersecurity”, OMB M-22-09, “Moving the U.S. Government Toward Zero Trust Cybersecurity Principles”, and NIST SP-800-63b, “Digital Identity Guidelines: Authentication and Lifecycle Management” federal, military, and intelligence communities must adopt the following configuration settings. Password policies must not require use of special characters or regular rotation.
",Configuration Profile,"/usr/bin/pwpolicy -getaccountpolicies 2>/dev/null | /usr/bin/tail -n +2 | /usr/bin/xmllint --xpath ""//string[contains(text(), \""policyAttributePassword matches '(.*[^a-zA-Z0-9].*){\"")]"" - 2>/dev/null | /usr/bin/awk -F""{|}"" '{if ($2 >= 1) {print ""true""} else {print ""false""}}'
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.mobiledevice.passwordpolicy) payload type:

[source,xml]
----
<key>minComplexChars</key>
<integer>1</integer>
----

",IA-5(1),03.05.07,SRG-OS-000266-GPOS-00101,,APPL-14-003011,5.2.5 (level 2),5.2,"IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9",,CCI-001619,medium,
CCE-92942-2,pwpolicy_temporary_or_emergency_accounts_disable,Automatically Remove or Disable Temporary or Emergency User Accounts within 72 Hours,"The macOS is able to be configured to set an automated termination for 72 hours or less for all temporary or emergency accounts upon account creation.

Emergency administrator accounts are privileged accounts established in response to crisis situations where the need for rapid account activation is required. Therefore, emergency account activation may bypass normal account authorization processes. If these accounts are disabled, system maintenance during emergencies may not be possible, thus adversely affecting system availability.

Although the ability to create and use emergency administrator accounts is necessary for performing system maintenance during emergencies, these accounts present vulnerabilities to the system if they are not disabled and removed when they are no longer needed. Configuring the macOS to automatically remove or disable emergency accounts within 72 hours of creation mitigates the risks posed if one were to be created and accidentally left active once the crisis is resolved.

Emergency administrator accounts are different from infrequently used accounts (i.e., local logon accounts used by system administrators when network or normal logon is not available). Infrequently used accounts also remain available and are not subject to automatic termination dates. However, an emergency administrator account is normally a different account created for use by vendors or system maintainers.

To address access requirements, many operating systems can be integrated with enterprise-level authentication/access mechanisms that meet or exceed access control policy requirements.

If temporary or emergency user accounts remain active when no longer needed or for an excessive period, these accounts may be targeted by attackers to gain unauthorized access. To mitigate this risk, automated termination of all temporary or emergency accounts _MUST_ be set to 72 hours (or less) when the temporary or emergency account is created.

If no policy is enforced by a directory service, a password policy can be set with the ""pwpolicy"" utility. The variable names may vary depending on how the policy was set.

If there are no temporary or emergency accounts defined on the system, this is Not Applicable.
",Manual,"Verify if a password policy is enforced by a directory service by asking the System Administrator (SA) or Information System Security Officer (ISSO).

If no policy is enforced by a directory service, a password policy can be set with the ""pwpolicy"" utility. The variable names may vary depending on how the policy was set.

If there are no temporary or emergency accounts defined on the system, this is Not Applicable.

To check if the password policy is configured to disable a temporary or emergency account after 72 hours, run the following command to output the password policy to the screen, substituting the correct user name in place of username:

/usr/bin/pwpolicy -u username getaccountpolicies | tail -n +2

If there is no output, and password policy is not controlled by a directory service, this is a finding.

Otherwise, look for the line ""<key>policyCategoryAuthentication</key>"".

In the array that follows, there should be a <dict> section that contains a check <string> that allows users to log in if ""policyAttributeCurrentTime"" is less than the result of adding ""policyAttributeCreationTime"" to 72 hours (259299 seconds). The check might use a variable defined in its ""policyParameters"" section.

If the check does not exist or if the check adds too great an amount of time to ""policyAttributeCreationTime"", this is a finding.
",,"This setting may be enforced using local policy or by a directory service.

To set local policy to disable a temporary or emergency user, create a plain text file containing the following:

<dict>
<key>policyCategoryAuthentication</key>
<array>
<dict>
<key>policyContent</key>
<string>policyAttributeCurrentTime &lt; policyAttributeCreationTime+259299</string>
<key>policyIdentifier</key>
<string>Disable Tmp Accounts </string>
</dict>
</array>
</dict>

After saving the file and exiting to the command prompt, run the following command to load the new policy file, substituting the correct user name in place of ""username"" and the path to the file in place of ""/path/to/file"".

/usr/bin/pwpolicy -u username setaccountpolicies /path/to/file
",AC-2(2),,"SRG-OS-000002-GPOS-00002
SRG-OS-000123-GPOS-00064",,APPL-14-000012,,,,,"CCI-001682
CCI-000016",medium,
CCE-92943-0,pwpolicy_upper_case_character_enforce,Require Passwords Contain a Minimum of One Uppercase Character,"The macOS _MUST_ be configured to require at least one uppercase character be used when a password is created.

This rule enforces password complexity by requiring users to set passwords that are less vulnerable to malicious users.

NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.

NOTE: macOS 14 supports password policy complexity with custom regex deployed with a mobileconfig file. To use a mobileconfig file use *pwpolicy_custom_regex_enforce*. 
",Script,"/usr/bin/pwpolicy -getaccountpolicies 2> /dev/null | /usr/bin/tail +2 | /usr/bin/xmllint --xpath '//dict/key[text()=""minimumAlphaCharactersUpperCase""]/following-sibling::integer[1]/text()' - | /usr/bin/awk '{ if ($1 >= 1 ) {print ""yes""} else {print ""no""}}'
",{'string': 'yes'},"This setting may be enforced using local policy or by a directory service.

To set local policy to require at least 1 lowercase letter, edit the current password policy to contain the following <dict> within the ""policyCategoryPasswordContent"":

[source,xml]
----
<dict>
<key>policyContent</key>
<string>policyAttributePassword matches &apos;(.*[A-Z].*){1,}+&apos;</string>
<key>policyIdentifier</key>
<string>Must have at least 1 uppercase letter</string>
<key>policyParameters</key>
<dict>
<key>minimumAlphaCharactersUpperCase</key>
<integer>1</integer>
</dict>
</dict>
----
After saving the file and exiting to the command prompt, run the following command to load the new policy file, substituting the path to the file in place of ""$pwpolicy_file"".

[source,bash]
----
/usr/bin/pwpolicy setaccountpolicies $pwpolicy_file
----
NOTE: See the password policy supplemental on more information on how to implement password policies on macOS.
",IA-5(1),03.05.07,,,,,5.2,"IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9",,,,
CCE-92944-8,system_settings_airplay_receiver_disable,Disable Airplay Receiver,"Airplay Receiver allows you to send content from another Apple device to be displayed on the screen as it's being played from your other device.

Support for Airplay Receiver is non-essential and _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowAirPlayIncomingRequests').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAirPlayIncomingRequests</key>
<false/>
----

","CM-7
CM-7(1)",03.04.06,"SRG-OS-000300-GPOS-00118
SRG-OS-000095-GPOS-00049",,APPL-14-002080,2.3.1.2 (level 1),"4.1
4.8","CM.L2-3.4.6
CM.L2-3.4.7",,"CCI-000381
CCI-001443",medium,
CCE-92945-5,system_settings_apple_watch_unlock_disable,Prevent Apple Watch from Terminating a Session Lock,"Apple Watches are not an approved authenticator and their use _MUST_ be disabled.

Disabling Apple watches is a necessary step to ensuring that the information system retains a session lock until the user reestablishes access using an authorized identification and authentication procedures.

NOTE: Unlocking the system with an Apple Watch is not an approved authenticator for US Federal Government usage as it has not been verified to meet the strength requirements outlined in NIST SP 800-63.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowAutoUnlock').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAutoUnlock</key>
<false/>
----

",IA-5,03.05.12,SRG-OS-000028-GPOS-00009,,APPL-14-000001,,,AC.L2-3.1.10,,CCI-000056,medium,
CCE-92947-1,system_settings_automatic_login_disable,Disable Unattended or Automatic Logon to the System,"Automatic logon _MUST_ be disabled.

When automatic logons are enabled, the default user account is automatically logged on at boot time without prompting the user for a password. Even if the screen is later locked, a malicious user would be able to reboot the computer and find it already logged in. Disabling automatic logons mitigates this risk.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.loginwindow')\
.objectForKey('com.apple.login.mcx.DisableAutoLoginClient').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.loginwindow) payload type:

[source,xml]
----
<key>com.apple.login.mcx.DisableAutoLoginClient</key>
<true/>
----

","IA-2
IA-5(13)",03.05.01,"SRG-OS-000480-GPOS-00229
SRG-OS-000104-GPOS-00051",,APPL-14-002066,2.12.3 (level 1),4.7,"IA.L1-3.5.1
IA.L1-3.5.2",,CCI-000366,medium,
CCE-92948-9,system_settings_automatic_logout_enforce,Enforce Auto Logout After 86400 Seconds of Inactivity,"Auto logout _MUST_ be configured to automatically terminate a user session and log out the after 86400 seconds of inactivity.

NOTE:The maximum that macOS can be configured for autologoff is 86400 seconds.

[IMPORTANT]
====
The automatic logout may cause disruptions to an organization's workflow and/or loss of data. Information System Security Officers (ISSOs) are advised to first fully weigh the potential risks posed to their organization before opting to disable the automatic logout setting.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('.GlobalPreferences')\
.objectForKey('com.apple.autologout.AutoLogOutDelay').js
EOS
",{'integer': 86400},"Create a configuration profile containing the following keys in the (.GlobalPreferences) payload type:

[source,xml]
----
<key>com.apple.autologout.AutoLogOutDelay</key>
<integer>86400</integer>
----

","AC-12
AC-2(5)","03.01.01
03.01.11",SRG-OS-000279-GPOS-00109,,APPL-14-000160,,,"AC.L2-3.1.10
AC.L2-3.1.11",,CCI-002361,medium,
CCE-92949-7,system_settings_bluetooth_disable,Disable Bluetooth When no Approved Device is Connected,"The macOS system _MUST_ be configured to disable Bluetooth unless there is an approved device connected.

[IMPORTANT]
====
Information System Security Officers (ISSOs) may make the risk-based decision not to disable Bluetooth, so as to maintain necessary functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCXBluetooth')\
.objectForKey('DisableBluetooth').js
EOS
",{'string': 'true'},"NOTE: The following settings are in the (com.apple.ManagedClient.preferences) payload. This payload requires the additional settings to be sub-payloads within, containing their defined payload types.

Create a configuration profile containing the following keys in the (com.apple.MCXBluetooth) payload type:

[source,xml]
----
<key>DisableBluetooth</key>
<true/>
----

","AC-18
SC-8
AC-18(3)","03.01.16
03.13.08","SRG-OS-000423-GPOS-00187
SRG-OS-000481-GPOS-00481",,APPL-14-002062,,"4.8
12.6
13.9",AC.L2-3.1.16,,"CCI-001967
CCI-002418",high,
CCE-92950-5,system_settings_bluetooth_menu_enable,Enable Bluetooth Menu,"The bluetooth menu _MUST_ be enabled.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.controlcenter')\
.objectForKey('Bluetooth').js
EOS
",{'integer': 18},"Create a configuration profile containing the following keys in the (com.apple.controlcenter) payload type:

[source,xml]
----
<key>Bluetooth</key>
<integer>18</integer>
----

",,,,,,2.4.2 (level 1),"4.8
13.9",,,,,
CCE-93016-4,system_settings_bluetooth_settings_disable,Disable the Bluetooth System Settings Pane,"The Bluetooth System Setting pane _MUST_ be disabled to prevent access to the bluetooth configuration.
",Configuration Profile,"/usr/bin/profiles show -output stdout-xml | /usr/bin/xmllint --xpath '//key[text()=""DisabledSystemSettings""]/following-sibling::*[1]' - | /usr/bin/grep -c com.apple.BluetoothSettings
",{'integer': 1},"Create a configuration profile containing the following keys in the (com.apple.systempreferences) payload type:

[source,xml]
----
<key>DisabledSystemSettings</key>
<array>
    <string>com.apple.BluetoothSettings</string>
</array>
----

","CM-7
CM-7(1)",03.04.06,SRG-OS-000095-GPOS-00049,,APPL-14-002260,,"4.1
4.8","CM.L2-3.4.6
CM.L2-3.4.7",,CCI-000381,medium,
CCE-92952-1,system_settings_bluetooth_sharing_disable,Disable Bluetooth Sharing,"Bluetooth Sharing _MUST_ be disabled.

Bluetooth Sharing allows users to wirelessly transmit files between the macOS and Bluetooth-enabled devices, including personally owned cellphones and tablets. A malicious user might introduce viruses or malware onto the system or extract sensitive files via Bluetooth Sharing. When Bluetooth Sharing is disabled, this risk is mitigated.

[NOTE]
====
The check and fix are for the currently logged in user. To get the currently logged in user, run the following.
[source,bash]
----
CURRENT_USER=$( /usr/sbin/scutil <<< ""show State:/Users/ConsoleUser"" | /usr/bin/awk '/Name :/ && ! /loginwindow/ { print $3 }' )
----
====
",Script,"/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults -currentHost read com.apple.Bluetooth PrefKeyServicesEnabled
",{'boolean': 0},"[source,bash]
----
/usr/bin/sudo -u ""$CURRENT_USER"" /usr/bin/defaults -currentHost write com.apple.Bluetooth PrefKeyServicesEnabled -bool false
----
","AC-3
AC-18(4)
CM-7
CM-7(1)",03.04.06,"SRG-OS-000080-GPOS-00048
SRG-OS-000095-GPOS-00049",,APPL-14-002110,2.3.3.11 (level 1),"3.3
4.1","AC.L1-3.1.1
CM.L2-3.4.6
CM.L2-3.4.7",,"CCI-000213
CCI-000381",medium,
CCE-92954-7,system_settings_content_caching_disable,Disable Content Caching Service,"Content caching _MUST_ be disabled.

Content caching is a macOS service that helps reduce Internet data usage and speed up software installation on Mac computers. It is not recommended for devices furnished to employees to act as a caching server.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowContentCaching').js
EOS
",{'string': 'false'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowContentCaching</key>
<false/>
----

","CM-7
CM-7(1)",03.04.06,SRG-OS-000095-GPOS-00049,,APPL-14-002140,2.3.3.9 (level 2),4.8,"CM.L2-3.4.6
CM.L2-3.4.7",,CCI-000381,medium,
CCE-92955-4,system_settings_critical_update_install_enforce,Enforce Critical Security Updates to be Installed,"Ensure that security updates are installed as soon as they are available from Apple.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.SoftwareUpdate')\
.objectForKey('CriticalUpdateInstall').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.SoftwareUpdate) payload type:

[source,xml]
----
<key>CriticalUpdateInstall</key>
<true/>
----

",SI-2,03.14.01,,,,1.6 (level 1),"7.3
7.4
7.7","SI.L1-3.14.1
SI.L1-3.14.4",,,,
CCE-92956-2,system_settings_diagnostics_reports_disable,Disable Sending Diagnostic and Usage Data to Apple,"The ability to submit diagnostic data to Apple _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of diagnostic and usage information will mitigate the risk of unwanted data being sent to Apple.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
let pref1 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.SubmitDiagInfo')\
.objectForKey('AutoSubmit').js
let pref2 = $.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowDiagnosticSubmission').js
if ( pref1 == false && pref2 == false ){
    return(""true"")
} else {
    return(""false"")
}
}
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.SubmitDiagInfo) payload type:

[source,xml]
----
<key>AutoSubmit</key>
<false/>
----

Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDiagnosticSubmission</key>
<false/>
----

","SI-11
AC-20
SC-7(10)",03.01.20,"SRG-OS-000206-GPOS-00084
SRG-OS-000205-GPOS-00083",,APPL-14-002021,2.6.3 (level 2),"4.1
4.8",AC.L1-3.1.20,,"CCI-001312
CCI-001314",medium,
CCE-92957-0,system_settings_filevault_enforce,Enforce FileVault,"FileVault _MUST_ be enforced.

The information system implements cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.
",Manual,"dontAllowDisable=$(/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.MCX')\
.objectForKey('dontAllowFDEDisable').js
EOS
)
fileVault=$(/usr/bin/fdesetup status | /usr/bin/grep -c ""FileVault is On."")
if [[ ""$dontAllowDisable"" == ""true"" ]] && [[ ""$fileVault"" == 1 ]]; then
  echo ""1""
else
  echo ""0""
fi
",{'integer': 1},"Create a configuration profile containing the following keys in the (com.apple.MCX) payload type:

[source,xml]
----
<key>dontAllowFDEDisable</key>
<true/>
----

","SC-28
SC-28(1)",03.13.08,"SRG-OS-000185-GPOS-00079
SRG-OS-000405-GPOS-00184
SRG-OS-000404-GPOS-00183",,APPL-14-005020,2.6.6 (level 1),"3.6
3.11",SC.L2-3.13.16,,"CCI-001199
CCI-002475
CCI-002476",high,
CCE-92958-8,system_settings_find_my_disable,Disable Find My Service,"The Find My service _MUST_ be disabled.

A Mobile Device Management (MDM) solution _MUST_ be used to carry out remote locking and wiping instead of Apple's Find My service.

Apple's Find My service uses a personal AppleID for authentication. Organizations should rely on MDM solutions, which have much more secure authentication requirements, to perform remote lock and remote wipe.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
function run() {
  let pref1 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowFindMyDevice'))
  let pref2 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.applicationaccess')\
.objectForKey('allowFindMyFriends'))
  let pref3 = ObjC.unwrap($.NSUserDefaults.alloc.initWithSuiteName('com.apple.icloud.managed')\
.objectForKey('DisableFMMiCloudSetting'))
  if ( pref1 == false && pref2 == false && pref3 == true ) {
    return(""true"")
  } else {
    return(""false"")
  }
}
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowFindMyDevice</key>
<false/>
<key>allowFindMyFriends</key>
<false/>
----

Create a configuration profile containing the following keys in the (com.apple.icloud.managed) payload type:

[source,xml]
----
<key>DisableFMMiCloudSetting</key>
<true/>
----

","AC-20
CM-7
CM-7(1)","03.01.20
03.04.06",SRG-OS-000095-GPOS-00049,,APPL-14-002180,,"4.1
4.8
15.3","AC.L1-3.1.20
CM.L2-3.4.6
CM.L2-3.4.7",,CCI-000381,medium,
CCE-92959-6,system_settings_firewall_enable,Enable macOS Application Firewall,"The macOS Application Firewall is the built-in firewall that comes with macOS, and it _MUST_ be enabled.

When the macOS Application Firewall is enabled, the flow of information within the information system and between interconnected systems will be controlled by approved authorizations.
",Script,"profile=""$(/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.firewall')\
.objectForKey('EnableFirewall').js
EOS
)""

plist=""$(/usr/bin/defaults read /Library/Preferences/com.apple.alf globalstate 2>/dev/null)""

if [[ ""$profile"" == ""true"" ]] && [[ ""$plist"" =~ [1,2] ]]; then
  echo ""true""
else
  echo ""false""
fi
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.firewall) payload type:

[source,xml]
----
<key>EnableFirewall</key>
<true/>
----

","AC-4
SC-7(12)
CM-7
CM-7(1)
SC-7","03.01.03
03.04.06
03.13.01",SRG-OS-000480-GPOS-00232,,APPL-14-005050,2.2.1 (level 1),"4.1
4.5
13.1","AC.L2-3.1.3
CM.L2-3.4.6
CM.L2-3.4.7
SC.L1-3.13.1",,CCI-000366,medium,
